epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.699,1.96056,3.46694,1.25595,0.45861,0.48326,0.46985,0.2101,1.66017,9.74311,1.17216,0.0033284,0.0033284,0.0033284
2,166.728,1.83287,2.19731,1.23728,0.5714,0.5152,0.54391,0.25087,1.67338,3.46088,1.18936,0.00659578,0.00659578,0.00659578
3,241.512,1.86449,1.79157,1.28452,0.49877,0.49049,0.43891,0.19956,1.68852,5.50883,1.22831,0.00979716,0.00979716,0.00979716
4,318.759,1.88791,1.65723,1.29768,0.44185,0.43791,0.38547,0.16922,1.72238,5.46343,1.24207,0.009703,0.009703,0.009703
5,395.355,1.82391,1.52951,1.27502,0.50742,0.58787,0.55903,0.24237,1.71334,2.83398,1.26475,0.009604,0.009604,0.009604
6,468.567,1.78227,1.41942,1.26784,0.74103,0.70373,0.77814,0.38901,1.53418,1.94478,1.16429,0.009505,0.009505,0.009505
7,545.966,1.7328,1.35083,1.25036,0.7624,0.78697,0.84597,0.43817,1.50555,1.52576,1.15122,0.009406,0.009406,0.009406
8,622.897,1.71523,1.31601,1.22792,0.70717,0.83232,0.83669,0.44082,1.50232,2.19762,1.15681,0.009307,0.009307,0.009307
9,702.259,1.70449,1.27626,1.22376,0.79542,0.7391,0.82608,0.44349,1.45867,1.68129,1.12749,0.009208,0.009208,0.009208
10,774.127,1.67737,1.25549,1.21591,0.75797,0.72411,0.80992,0.42459,1.46321,1.8999,1.10473,0.009109,0.009109,0.009109
11,848.593,1.66136,1.22524,1.19685,0.82965,0.78843,0.86079,0.47833,1.4194,1.91732,1.09581,0.00901,0.00901,0.00901
12,920.498,1.64621,1.19082,1.18731,0.79685,0.85558,0.8536,0.47667,1.37632,1.49693,1.07792,0.008911,0.008911,0.008911
13,992.488,1.62486,1.15827,1.18139,0.79817,0.85937,0.88077,0.47581,1.41122,1.73965,1.09254,0.008812,0.008812,0.008812
14,1066.98,1.62468,1.16466,1.17431,0.87678,0.83377,0.89716,0.50675,1.37484,1.88399,1.07367,0.008713,0.008713,0.008713
15,1139.8,1.59668,1.13356,1.16096,0.82695,0.83044,0.88632,0.50476,1.38539,1.08525,1.07465,0.008614,0.008614,0.008614
16,1217.77,1.61246,1.12703,1.17692,0.82097,0.87885,0.90537,0.51178,1.41949,1.04744,1.08763,0.008515,0.008515,0.008515
17,1298.4,1.59796,1.11725,1.16151,0.88566,0.82937,0.91367,0.52498,1.36393,1.05224,1.05774,0.008416,0.008416,0.008416
18,1379.38,1.57742,1.09533,1.1508,0.82179,0.84705,0.90211,0.51528,1.34288,1.69442,1.05622,0.008317,0.008317,0.008317
19,1463.02,1.57823,1.09378,1.1518,0.89681,0.86202,0.92087,0.54541,1.34764,0.99768,1.06139,0.008218,0.008218,0.008218
20,1538.87,1.56091,1.07377,1.14286,0.82712,0.88604,0.90294,0.52377,1.34343,1.20749,1.04951,0.008119,0.008119,0.008119
21,1612.15,1.55288,1.05776,1.14574,0.82717,0.87905,0.90686,0.52992,1.33396,1.21114,1.0503,0.00802,0.00802,0.00802
22,1678.15,1.54027,1.06302,1.14637,0.86127,0.88481,0.91214,0.53363,1.37242,1.00553,1.06169,0.007921,0.007921,0.007921
23,1744.33,1.56333,1.046,1.14838,0.89984,0.88889,0.92507,0.53606,1.37646,0.92424,1.06784,0.007822,0.007822,0.007822
24,1810.56,1.53159,1.03214,1.12866,0.88238,0.88797,0.92453,0.55267,1.31712,0.9726,1.04146,0.007723,0.007723,0.007723
25,1876.04,1.50871,1.02769,1.12743,0.87333,0.89043,0.92612,0.55647,1.30634,1.05074,1.03272,0.007624,0.007624,0.007624
26,1940.9,1.53168,1.02619,1.12824,0.89728,0.89021,0.93459,0.55941,1.30782,0.91319,1.04125,0.007525,0.007525,0.007525
