epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.399,1.94091,2.37099,1.3437,0.51681,0.59782,0.55486,0.2399,1.6744,3.4038,1.27032,0.000475628,0.000475628,0.000475628
2,224.761,1.84401,1.52864,1.30406,0.55403,0.518,0.50562,0.23488,1.76003,2.60551,1.26078,0.000925034,0.000925034,0.000925034
3,326.752,1.80124,1.45314,1.29868,0.68067,0.64091,0.68912,0.33963,1.58299,2.66215,1.20956,0.00134749,0.00134749,0.00134749
4,427.475,1.75967,1.38373,1.26552,0.75494,0.7524,0.79262,0.38746,1.57739,2.07055,1.19137,0.00130774,0.00130774,0.00130774
5,528.23,1.71239,1.30358,1.2437,0.73124,0.61601,0.71423,0.34636,1.57333,2.41424,1.19167,0.00126732,0.00126732,0.00126732
6,632.016,1.66549,1.22445,1.21555,0.824,0.75535,0.83018,0.43425,1.48284,2.06687,1.14391,0.0012269,0.0012269,0.0012269
7,737.594,1.63769,1.17014,1.20901,0.82837,0.80246,0.85001,0.46927,1.41776,2.48516,1.11445,0.00118648,0.00118648,0.00118648
8,837.327,1.61173,1.16459,1.19133,0.86412,0.85242,0.87987,0.48234,1.43656,1.98496,1.11148,0.00114606,0.00114606,0.00114606
9,933.646,1.59403,1.11616,1.18015,0.83794,0.80361,0.87159,0.45847,1.42777,2.01748,1.10996,0.00110564,0.00110564,0.00110564
10,1028.78,1.56716,1.11358,1.17308,0.78038,0.80274,0.84573,0.47063,1.40201,2.07947,1.09706,0.00106522,0.00106522,0.00106522
11,1123.76,1.54715,1.06981,1.16207,0.83366,0.8336,0.88908,0.49342,1.41097,1.204,1.08147,0.0010248,0.0010248,0.0010248
12,1220.09,1.52593,1.0484,1.14588,0.85139,0.86861,0.90399,0.51597,1.35124,1.12859,1.07054,0.000984377,0.000984377,0.000984377
13,1317.96,1.51286,1.02779,1.14095,0.88668,0.88274,0.92185,0.54175,1.33732,1.30241,1.05319,0.000943957,0.000943957,0.000943957
14,1421.09,1.50588,1.02605,1.13638,0.85385,0.88534,0.92041,0.53381,1.34717,1.24408,1.06496,0.000903536,0.000903536,0.000903536
15,1531.74,1.47895,1.00258,1.12435,0.86849,0.86659,0.91807,0.54902,1.31115,1.15011,1.04742,0.000863116,0.000863116,0.000863116
16,1635.25,1.47777,0.98685,1.12676,0.88822,0.89232,0.92789,0.55645,1.31772,1.2388,1.04707,0.000822696,0.000822696,0.000822696
17,1740.91,1.46375,0.98213,1.11719,0.87655,0.87957,0.92604,0.55894,1.29333,1.2899,1.03548,0.000782275,0.000782275,0.000782275
18,1849.74,1.44938,0.96243,1.11078,0.84823,0.87942,0.90418,0.55637,1.27428,1.35734,1.02468,0.000741855,0.000741855,0.000741855
19,1952.77,1.4409,0.95409,1.10393,0.91871,0.90131,0.948,0.58314,1.27876,1.27583,1.02438,0.000701435,0.000701435,0.000701435
20,2054.31,1.42692,0.93135,1.09429,0.88612,0.89137,0.93813,0.57763,1.26137,1.22335,1.02253,0.000661015,0.000661015,0.000661015
21,2160.27,1.40916,0.91392,1.09428,0.87995,0.89466,0.93004,0.57718,1.27494,1.19667,1.01316,0.000620594,0.000620594,0.000620594
22,2259.73,1.39212,0.91029,1.08908,0.88673,0.89904,0.9318,0.56401,1.28832,1.10216,1.01543,0.000580174,0.000580174,0.000580174
23,2363.54,1.39423,0.89587,1.08546,0.89446,0.90747,0.9375,0.60124,1.21683,0.98948,0.99813,0.000539754,0.000539754,0.000539754
24,2474.44,1.36551,0.87453,1.06882,0.90483,0.91161,0.9426,0.6039,1.20955,1.0649,0.99555,0.000499333,0.000499333,0.000499333
25,2576.52,1.356,0.87076,1.07101,0.90347,0.9256,0.94409,0.58911,1.23613,0.98692,1.00192,0.000458913,0.000458913,0.000458913
26,2705.2,1.31834,0.80316,1.08341,0.92312,0.91997,0.95048,0.58803,1.24991,0.99661,1.01193,0.000418493,0.000418493,0.000418493
27,2806.66,1.29605,0.78926,1.06733,0.91098,0.92511,0.94449,0.61038,1.23603,1.02858,0.9946,0.000378073,0.000378073,0.000378073
28,2908.34,1.28217,0.77092,1.06848,0.90871,0.91516,0.94926,0.61344,1.21211,1.02855,0.99556,0.000337652,0.000337652,0.000337652
29,3010.09,1.26349,0.75997,1.05753,0.91362,0.9291,0.95327,0.61985,1.20547,0.92726,0.99017,0.000297232,0.000297232,0.000297232
30,3111.56,1.25047,0.74973,1.05103,0.91391,0.93977,0.95172,0.62482,1.182,0.90314,0.9806,0.000256812,0.000256812,0.000256812
31,3213.95,1.23324,0.73148,1.04483,0.93055,0.93884,0.9501,0.62548,1.18698,0.82386,0.97544,0.000216391,0.000216391,0.000216391
32,3317.57,1.21953,0.7171,1.03451,0.92513,0.94061,0.95053,0.63585,1.17141,0.88529,0.97419,0.000175971,0.000175971,0.000175971
33,3418.96,1.21175,0.70682,1.03208,0.92632,0.94431,0.95479,0.64553,1.15264,0.8764,0.96619,0.000135551,0.000135551,0.000135551
34,3520.49,1.19965,0.69989,1.02793,0.92258,0.95116,0.95719,0.64529,1.1502,0.89553,0.96339,9.51306e-05,9.51306e-05,9.51306e-05
35,3623.07,1.18534,0.68646,1.02448,0.92454,0.94699,0.95674,0.6506,1.13376,0.82527,0.9612,5.47103e-05,5.47103e-05,5.47103e-05
